"URL,""author"",""date"",""rating"",""text"",""title"""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Nana Mariana cocoreta"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Melhor App Pra Músicas!"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Wictor Mendes"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""ducarai"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Faby Barbosa Pinto"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Adorei"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,"""",""28 de abril de 2018"",""Com a classificação 4 de cinco estrelas"",""Muito bom, pena que usa a memória do celular quando baixa uma playlist."","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""geovanna meybel"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Ótimo"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Bruno Dias"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Perfeito"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Guilherme Henrique"",""28 de abril de 2018"",""Com a classificação 4 de cinco estrelas"",""Melhor aplicativo de música atualmente"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Denis Neias"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Top recomendo"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Léia Music"",""28 de abril de 2018"",""Com a classificação 3 de cinco estrelas"",""Não tem Triz :("","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,"""",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Melhor app de música que já testei."","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Murilo Siqueira"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Espetáculo"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""RED J"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Bom de mais"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Eduardo Zola"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""o melhor app de música"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Sintia Farias"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Incontestável o melhor!!"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Ernane Nascimento"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Gostei muito!!!"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,"""",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Excelente para baixar várias músicas de todos os tipos ??"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""poliana priscilla de castro"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""É ótimo"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Bruno Henrique"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Ótimo p ouvir rock"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Luiz Paulo Machado"",""28 de abril de 2018"",""Com a classificação 3 de cinco estrelas"",""Bom mas muita propagando"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""yngrind joyce"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Gostei"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""CENTRO DE DESENVOLVIMENTO DA PSIQUE"",""28 de abril de 2018"",""Com a classificação 4 de cinco estrelas"",""Este aplicativo é muito interessante Por que permite acesso a uma infinidade de músicas e novos artistas de minha preferência. Para que eu classifique com 5 estrelas deveria haver a opção de bloquear os gêneros e artistas que desprezo. Acho uma afronta abrir a página inicial com 90% de lixo musical na minha opinião. Igualmente entendo perfeitamente a impossibilidade de ter todas as músicas que eu realmente gostaria por quê várias faixas que eu gostaria de ter não podem ser incluídas Possivelmente por questões contratuais. Portanto o aplicativo ganhar minha nota de muito bom e se resolver estes detalhes passará a ter minha nota excelente."","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Matheus dos Santos SIlva"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Ótimo aplicativo"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,"""",""28 de abril de 2018"",""Com a classificação 1 de cinco estrelas"",""Nao consigo fala que tem um erro nas informaçoes nao sei mexer nisso"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""William A."",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Top"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,"""",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""??????????????"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Andrea Marazzi"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Bom"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Rick Caetano"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Muito bom excelente app"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Tiago Rodrigues Gonçalves"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Excelente e o preço bem acessível! Amei."","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Pedro Pinheiro"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Muito bom , pena q não tem as músicas do Lab"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Guilherme Da Silva Alves"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Muito bom"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Leonardo Castro"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Melhor de todos"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,"""",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Top"","""""	
"https://play.google.com/store/apps/details?id=com.spotify.music&hl=pt_BR,""Patricia Bemfica da Rosa"",""28 de abril de 2018"",""Com a classificação 5 de cinco estrelas"",""Simplesmente maravilhoso"","""""	
