"text1"
"esse aplicativo era muito bom, mas ultimamente esta deixando muito a desejar."
"principalmente quando precisamos sair da rota."
"ele nao consegue mais redefinir a rota."
"fica so calculando, e no transito nao podemos perder tempo."
"o meu, em pesquisa de voz nao esta funcionando mais."
"ta uma bosta."
"concertem isso."
"esse app era muito bom, mas comecou a travar, tinha um samsung j5 e parei de usar achando que era do aparelho troquei pelo lg q6 e continuou, atualizei e vou ver se melhorar dou 5 🌟"
"pelo menos aqui, na metropole funciona muito bem e tenho feito bom uso dele"
"muitos erros, mais muitos mesmo!"
"a bolinha azul q aparece em baixa velocidade, a setinha fica perdida em varias curvas proximas ou rotatorias, modo off-line demora a aparecer o percurso e se sair da rota fica tracando novo trajeto toda vida resumindo esta horrivel"
"o aplicativo e muito bom e completo, oferecendo opcoes diversas e abrangendo varias regioes."
"sugestoes: permitir o download de mais de uma rota offline"
"alem das funcoes carro,a pe,onibus ou trem deveriam coloca a funcao caminhaopor favor nos deem essa forca garanto q muito mais pessoas irao usar o app eu uso muito mais tem hora q so manda em lugar errado por ser carreta ai complica."
"minha experiencia de navegacao com este app sempre foi muito positiva."
"umas pequenas confusoes com curvas e retornos, compreensivel pelo caos brasileiro de algumas cidades, mas recomendo muito ele."
"hoje, dia 05.01, estava bem zuado sorte que minhas rotas foram curtas e fui me virando, mas nao atualizada o ponto do gps em movimento"
"eu trabalho com app mais esse dias esta muito ruim nao sair do ponto azul a seta demora para aparecer,se passa em uma ruim com arvores o app fala que esta sem sinal,antes dessas atualizado o app era otimo agora esta muito ruim fica mais sem sinal do que com sinal normalmente, por favor tenta fazer uma atualizacao melhor"
"pior app de mapas que existe."
"pois a 3 anos meu endereco esta mostrando em local errado.ja tentei de tudo pra arrumarem e nada .fazendo clientes ir pra outro endereco."
"baixei o tom tom mapas este sim e bom e ainda se a rua estiver com engarrafamento ele faz um desvio na rota ."
"e meu endereco esta correto."
"baixem o tom tom este sim vale a pena."
"nao gostei do tipo que ele baixa o mapa, pega por area, ficou bem ruim assim, vou pra outro aplicativo esse nao serve mais pra mim"
"o aplicativo esta um lixo!"
"nao consigo acessar absolutamente nenhuma funcionalidade mas os malditos anuncios estao firmes e fortes!"
"consigo navegar pelas propagandas mas nao consigo fazer uma rota sequer."
"top nunca tive problemas sempre m orientou correto"
"deveriam atualiza pois faz 7 anos que n atualizam as fotos tem casas que n existem no google mas existe na realidade"
"ao iniciar a navegacao nao atualiza para comeca a dirigir so depois de um tempo."
"nao era assim a meses atras."
"eu moro no df precisamente na ceilandia norte porem quero pegar um onibus 346 sentido guara todas a vezes ele marca um horario e nunca passa nao passa mesmo."
"ridiculo horrivel lixo"
"deveria mostrar radar , perde o gps e e trav e nao conecta novamente tem que reiniciar o aparelho"
"o aplicativo esta travando e tem que fechar varias vezes depois da ultima atualizacao"
"precisa melhorar muita coisa."
"quero saber sobre a questao de ter velocimetro e pardal."
"ao estiver em um destino tracado so consigo add umas paradas se eu realizar buscas ao inves de ver minha lista de locais marcados e clicar no mapa."
"aguardo retorno."
"nesta ultima atualizacao, nao aparece mais automaticamente a seta, a qual indica seu local no trajeto."
"parece que ele espera vc se movimentar pra troca o ponto de origem pela seta, no entanto o google maps nao reconhece sua movitacao e o ponto persiste, mesmo com o carro em movimento."
"o bizarro e que o google maps do iphone funciona melhor do que do android."
"2 funcionalidades que sinto falta sao: 1) modo noturno, mesmo durante o dia."
"2) visualizacao 2d sem o norte fixo."
"poderia ser revisto a funcionalidade dos horarios de trens e metros, alem das linhas de onibus que muitas das vezes nao sao encontradas ou incorretas."
"pq nao desde que comecei a utilizar outros meios de transporte (uber/cabify) nao aparece mais a opcao de transporte publico?"
"ja tentei novas configuracoes e nao adiantou."
"ultimamente nao esta localizando onde eu estou."
"sempre localiza errado."
"diz q eu estou em um lugar nada a ver onde realmente estou."
